Time_Interval,Total_Wait_Time_in_Hours
0:00-1:00,17.581666666666667
1:00-2:00,14.65638888888889
2:00-3:00,12.831111111111111
3:00-4:00,8.614722222222222
4:00-5:00,5.371388888888889
5:00-6:00,14.940555555555555
6:00-7:00,4.244166666666667
7:00-8:00,8.748055555555556
8:00-9:00,17.99888888888889
9:00-10:00,37.08277777777778
10:00-11:00,47.16833333333334
11:00-12:00,61.475833333333334
12:00-13:00,72.89361111111111
13:00-14:00,75.41
14:00-15:00,77.45166666666667
15:00-16:00,76.83
16:00-17:00,80.95444444444445
17:00-18:00,78.26777777777778
18:00-19:00,80.79583333333333
19:00-20:00,67.0625
20:00-21:00,65.10666666666667
21:00-22:00,45.062222222222225
22:00-23:00,47.83083333333333
23:00-24:00,39.76277777777778
