,Signal_Num,Time_Interval,Wait_Time
144,7,0:00-1:00,0 days 00:59:48
145,7,1:00-2:00,0 days 00:59:17
146,7,2:00-3:00,0 days 00:59:31
147,7,3:00-4:00,0 days 00:59:36
148,7,4:00-5:00,0 days 00:59:02
149,7,5:00-6:00,0 days 00:59:06
150,7,6:00-7:00,0 days 00:58:10
151,7,7:00-8:00,0 days 00:55:22
152,7,8:00-9:00,0 days 00:54:18
153,7,9:00-10:00,0 days 00:55:45
154,7,10:00-11:00,0 days 00:54:08
155,7,11:00-12:00,0 days 00:53:38
156,7,12:00-13:00,0 days 00:44:45
157,7,13:00-14:00,0 days 00:53:18
158,7,14:00-15:00,0 days 00:52:54
159,7,15:00-16:00,0 days 00:52:50
160,7,16:00-17:00,0 days 00:52:58
161,7,17:00-18:00,0 days 00:53:05
162,7,18:00-19:00,0 days 00:53:38
163,7,19:00-20:00,0 days 00:57:40
164,7,20:00-21:00,0 days 00:57:51
165,7,21:00-22:00,0 days 00:58:30
166,7,22:00-23:00,0 days 00:58:59
167,7,23:00-24:00,0 days 00:58:41
168,8,0:00-1:00,0 days 00:35:58
169,8,1:00-2:00,0 days 00:45:33
170,8,2:00-3:00,0 days 00:47:26
171,8,3:00-4:00,0 days 00:45:28
172,8,4:00-5:00,0 days 00:42:40
173,8,5:00-6:00,0 days 00:39:01
174,8,6:00-7:00,0 days 00:38:47
175,8,7:00-8:00,0 days 00:37:09
176,8,8:00-9:00,0 days 00:36:16
177,8,9:00-10:00,0 days 00:37:03
178,8,10:00-11:00,0 days 00:37:04
179,8,11:00-12:00,0 days 00:36:20
180,8,12:00-13:00,0 days 00:37:49
181,8,13:00-14:00,0 days 00:37:47
182,8,14:00-15:00,0 days 00:36:53
183,8,15:00-16:00,0 days 00:37:44
184,8,16:00-17:00,0 days 00:37:35
185,8,17:00-18:00,0 days 00:36:18
186,8,18:00-19:00,0 days 00:37:01
187,8,19:00-20:00,0 days 00:36:37
188,8,20:00-21:00,0 days 00:36:08
189,8,21:00-22:00,0 days 00:39:24
190,8,22:00-23:00,0 days 00:38:39
191,8,23:00-24:00,0 days 00:38:34
